t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1572280468,1,0.315490,0.000000,0.000000,0.000000,events/second
1572280471,1,0.164453,0.000000,0.000000,0.000000,events/second
1572280475,1,0.109349,0.000000,0.000000,0.000000,events/second
1572280477,1,0.083036,0.000000,0.000000,0.000000,events/second
1572280480,1,0.066431,0.000000,0.000000,0.000000,events/second
1572280483,1,0.055316,0.000000,0.000000,0.000000,events/second
1572280486,1,0.047532,0.000000,0.000000,0.000000,events/second
1572280489,1,0.041549,0.000000,0.000000,0.000000,events/second
1572280492,1,0.036962,0.000000,0.000000,0.000000,events/second
1572280495,1,0.033267,0.000000,0.000000,0.000000,events/second
1572280498,1,0.030220,0.000000,0.000000,0.000000,events/second
1572280501,1,0.027730,0.000000,0.000000,0.000000,events/second
1572280504,1,0.025628,0.000000,0.000000,0.000000,events/second
1572280507,1,0.023778,0.000000,0.000000,0.000000,events/second
1572280510,1,0.022195,0.000000,0.000000,0.000000,events/second
1572280513,1,0.020819,0.000000,0.000000,0.000000,events/second
1572280516,1,0.019594,0.000000,0.000000,0.000000,events/second
1572280519,1,0.018506,0.000000,0.000000,0.000000,events/second
1572280522,1,0.017527,0.000000,0.000000,0.000000,events/second
1572280525,1,0.016648,0.000000,0.000000,0.000000,events/second
1572280528,1,0.015864,0.000000,0.000000,0.000000,events/second
1572280531,1,0.015140,0.000000,0.000000,0.000000,events/second
1572280534,1,0.014478,0.000000,0.000000,0.000000,events/second
1572280537,1,0.013879,0.000000,0.000000,0.000000,events/second
1572280540,1,0.013326,0.000000,0.000000,0.000000,events/second
1572280543,1,0.012813,0.000000,0.000000,0.000000,events/second
1572280546,1,0.012341,0.000000,0.000000,0.000000,events/second
1572280549,1,0.011898,0.000000,0.000000,0.000000,events/second
1572280552,1,0.011487,0.000000,0.000000,0.000000,events/second
1572280555,1,0.011106,0.000000,0.000000,0.000000,events/second
1572280558,1,0.010745,0.000000,0.000000,0.000000,events/second
1572280561,1,0.010413,0.000000,0.000000,0.000000,events/second
1572280564,1,0.010097,0.000000,0.000000,0.000000,events/second
1572280567,1,0.009799,0.000000,0.000000,0.000000,events/second
1572280570,1,0.009521,0.000000,0.000000,0.000000,events/second
1572280573,1,0.009259,0.000000,0.000000,0.000000,events/second
1572280576,1,0.009004,0.000000,0.000000,0.000000,events/second
1572280579,1,0.008767,0.000000,0.000000,0.000000,events/second
1572280582,1,0.008542,0.000000,0.000000,0.000000,events/second
1572280585,1,0.008331,0.000000,0.000000,0.000000,events/second
1572280588,1,0.008127,0.000000,0.000000,0.000000,events/second
1572280591,1,0.007934,0.000000,0.000000,0.000000,events/second
1572280594,1,0.007747,0.000000,0.000000,0.000000,events/second
1572280597,1,0.007575,0.000000,0.000000,0.000000,events/second
1572280600,1,0.007404,0.000000,0.000000,0.000000,events/second
1572280603,1,0.007244,0.000000,0.000000,0.000000,events/second
1572280606,1,0.007090,0.000000,0.000000,0.000000,events/second
1572280609,1,0.006941,0.000000,0.000000,0.000000,events/second
1572280612,1,0.006803,0.000000,0.000000,0.000000,events/second
1572280615,1,0.006664,0.000000,0.000000,0.000000,events/second
1572280618,1,0.006534,0.000000,0.000000,0.000000,events/second
1572280621,1,0.006408,0.000000,0.000000,0.000000,events/second
1572280624,1,0.006287,0.000000,0.000000,0.000000,events/second
1572280627,1,0.006171,0.000000,0.000000,0.000000,events/second
1572280630,1,0.006059,0.000000,0.000000,0.000000,events/second
1572280633,1,0.005951,0.000000,0.000000,0.000000,events/second
1572280636,1,0.005846,0.000000,0.000000,0.000000,events/second
1572280639,1,0.005745,0.000000,0.000000,0.000000,events/second
1572280642,1,0.005649,0.000000,0.000000,0.000000,events/second
1572280645,1,0.005555,0.000000,0.000000,0.000000,events/second
1572280648,1,0.005465,0.000000,0.000000,0.000000,events/second
1572280651,1,0.005373,0.000000,0.000000,0.000000,events/second
1572280654,1,0.005289,0.000000,0.000000,0.000000,events/second
1572280657,1,0.005207,0.000000,0.000000,0.000000,events/second
1572280660,1,0.005127,0.000000,0.000000,0.000000,events/second
1572280663,1,0.005049,0.000000,0.000000,0.000000,events/second
1572280666,1,0.004975,0.000000,0.000000,0.000000,events/second
1572280669,1,0.004901,0.000000,0.000000,0.000000,events/second
1572280672,1,0.004830,0.000000,0.000000,0.000000,events/second
1572280675,1,0.004761,0.000000,0.000000,0.000000,events/second
1572280678,1,0.004694,0.000000,0.000000,0.000000,events/second
1572280681,1,0.004628,0.000000,0.000000,0.000000,events/second
1572280684,1,0.004565,0.000000,0.000000,0.000000,events/second
1572280687,1,0.004504,0.000000,0.000000,0.000000,events/second
1572280690,1,0.004444,0.000000,0.000000,0.000000,events/second
1572280693,1,0.004385,0.000000,0.000000,0.000000,events/second
1572280696,1,0.004329,0.000000,0.000000,0.000000,events/second
1572280699,1,0.004274,0.000000,0.000000,0.000000,events/second
1572280702,1,0.004219,0.000000,0.000000,0.000000,events/second
1572280705,1,0.004166,0.000000,0.000000,0.000000,events/second
1572280708,1,0.004114,0.000000,0.000000,0.000000,events/second
1572280711,1,0.004065,0.000000,0.000000,0.000000,events/second
1572280714,1,0.004015,0.000000,0.000000,0.000000,events/second
1572280717,1,0.003967,0.000000,0.000000,0.000000,events/second
1572280720,1,0.003921,0.000000,0.000000,0.000000,events/second
1572280723,1,0.003875,0.000000,0.000000,0.000000,events/second
1572280726,1,0.003831,0.000000,0.000000,0.000000,events/second
1572280729,1,0.003787,0.000000,0.000000,0.000000,events/second
1572280732,1,0.003745,0.000000,0.000000,0.000000,events/second
1572280735,1,0.003704,0.000000,0.000000,0.000000,events/second
1572280738,1,0.003663,0.000000,0.000000,0.000000,events/second
1572280741,1,0.003623,0.000000,0.000000,0.000000,events/second
1572280744,1,0.003584,0.000000,0.000000,0.000000,events/second
1572280747,1,0.003546,0.000000,0.000000,0.000000,events/second
1572280750,1,0.003509,0.000000,0.000000,0.000000,events/second
1572280753,1,0.003472,0.000000,0.000000,0.000000,events/second
1572280756,1,0.003436,0.000000,0.000000,0.000000,events/second
1572280759,1,0.003401,0.000000,0.000000,0.000000,events/second
1572280762,1,0.003367,0.000000,0.000000,0.000000,events/second
1572280765,1,0.003333,0.000000,0.000000,0.000000,events/second
1572280768,1,0.003300,0.000000,0.000000,0.000000,events/second
1572280771,1,0.003268,0.000000,0.000000,0.000000,events/second
1572280774,1,0.003236,0.000000,0.000000,0.000000,events/second
1572280777,1,0.003205,0.000000,0.000000,0.000000,events/second
1572280780,1,0.003175,0.000000,0.000000,0.000000,events/second
1572280783,1,0.003144,0.000000,0.000000,0.000000,events/second
1572280786,1,0.003115,0.000000,0.000000,0.000000,events/second
1572280789,1,0.003086,0.000000,0.000000,0.000000,events/second
1572280792,1,0.003058,0.000000,0.000000,0.000000,events/second
1572280795,1,0.003030,0.000000,0.000000,0.000000,events/second
1572280798,1,0.003003,0.000000,0.000000,0.000000,events/second
1572280801,1,0.002976,0.000000,0.000000,0.000000,events/second
1572280804,1,0.002949,0.000000,0.000000,0.000000,events/second
1572280807,1,0.002923,0.000000,0.000000,0.000000,events/second
1572280810,1,0.002899,0.000000,0.000000,0.000000,events/second
